item,cluster
Appingedam,0
Bedum,0
Ten Boer,0
Delfzijl,0
Groningen,0
Grootegast,0
Stein,1
Vaals,1
Venlo,2
Haren,0
Leek,0
Loppersum,0
Marum,0
Almere,3
Voerendaal,1
Stadskanaal,4
Veendam,0
Zeewolde,5
Winsum,0
Zuidhorn,0
Dongeradeel,6
Achtkarspelen,6
Ameland,6
Valkenburg aan de Geul,1
Arnhem,7
Harlingen,6
Heerenveen,6
Kollumerland en Nieuwkruisland,6
Leeuwarden,6
Ooststellingwerf,6
Opsterland,6
Schiermonnikoog,8
Smallingerland,6
Terschelling,6
Vlieland,9
Weststellingwerf,6
Assen,0
Coevorden,4
Emmen,4
Hoogeveen,10
Meppel,10
Almelo,11
Borne,11
Dalfsen,10
Deventer,12
Cromstrijen,13
Enschede,11
Barneveld,14
Haaksbergen,11
Hardenberg,10
Hellendoorn,11
Heemstede,15
Diemen,16
Hengelo,11
Harderwijk,5
Kampen,10
Losser,11
Noordoostpolder,17
Haarlemmerliede en Spaarnwoude,15
Oldenzaal,11
Ommen,10
Raalte,10
Staphorst,10
Tubbergen,11
Urk,17
Weert,2
Wierden,11
Zwolle,10
Aalten,18
Apeldoorn,12
Beuningen,19
Brummen,12
Buren,20
Culemborg,20
Doesburg,7
Doetinchem,18
Druten,19
Lelystad,5
Horst aan de Maas,2
Oude IJsselstreek,18
Utrechtse Heuvelrug,21
Oost Gelre,18
Koggenland,22
Hattem,10
Duiven,7
Ede,14
Elburg,5
Rozendaal,7
Epe,12
Ermelo,5
Geldermalsen,20
Westervoort,7
Heerde,10
Heumen,19
Lochem,12
Zutphen,12
Maasdriel,23
Nijkerk,24
Nijmegen,19
Oldebroek,10
Putten,5
Renkum,7
Rheden,7
Bunschoten,24
Scherpenzeel,14
Tiel,20
Voorst,12
Wageningen,14
Winterswijk,18
Wijchen,19
Zaltbommel,23
Zevenaar,7
Nunspeet,5
Dronten,5
Neerijnen,20
Amersfoort,24
Baarn,24
De Bilt,21
Bunnik,21
Eemnes,25
Houten,21
Leusden,24
Lopik,21
Montfoort,21
Renswoude,14
Steenwijkerland,10
Rhenen,14
Soest,24
Utrecht,21
Veenendaal,14
Woudenberg,14
Cranendonck,26
Moerdijk,27
Echt-Susteren,1
Sluis,28
Drimmelen,29
Wijk bij Duurstede,21
IJsselstein,21
Zeist,21
Nieuwegein,21
Aalsmeer,30
Alkmaar,31
Blaricum,25
Amstelveen,30
Amsterdam,16
Beemster,22
Bergen (NH.),31
Beverwijk,32
Bladel,26
Gulpen-Wittem,1
Tynaarlo,0
Eijsden-Margraten,1
Stichtse Vecht,21
Midden-Drenthe,0
Overbetuwe,7
Hof van Twente,11
Neder-Betuwe,20
Geldrop-Mierlo,26
Olst-Wijhe,10
Dinkelland,11
Bloemendaal,15
Goeree-Overflakkee,13
Castricum,32
Edam-Volendam,22
Enkhuizen,22
Haarlem,15
Haarlemmermeer,15
Heemskerk,32
Heerhugowaard,31
Hoorn,22
Heiloo,31
Den Helder,31
Hilversum,25
Papendrecht,33
Huizen,25
Landsmeer,16
Langedijk,31
Laren,25
Purmerend,22
Medemblik,22
Oostzaan,32
Opmeer,22
Ouder-Amstel,16
Schagen,31
Texel,31
Uitgeest,32
Uithoorn,30
Velsen,15
Krimpenerwaard,34
De Fryske Marren,6
Midden-Groningen,0
Weesp,25
Zandvoort,15
Barendrecht,35
Zaanstad,32
Alblasserdam,33
Nissewaard,13
Montferland,18
Drechterland,22
Alphen aan den Rijn,34
Brielle,13
Capelle aan den IJssel,35
Delft,36
Dordrecht,33
Gorinchem,33
Gouda,34
's-Gravenhage,37
Hardinxveld-Giessendam,33
Hillegom,15
Hellevoetsluis,13
Hendrik-Ido-Ambacht,33
Stede Broec,22
Katwijk,38
Krimpen aan den IJssel,35
Leerdam,33
Leiden,38
Leiderdorp,38
Lisse,15
Maassluis,39
Nieuwkoop,34
Noordwijk,38
Noordwijkerhout,38
Oegstgeest,38
Oud-Beijerland,13
Binnenmaas,13
Korendijk,13
Oudewater,34
Rijswijk,37
Ridderkerk,35
Rotterdam,35
Schiedam,39
Sliedrecht,33
Albrandswaard,35
Westvoorne,13
Strijen,13
Zwijndrecht,33
Vianen,21
Vlaardingen,39
Voorschoten,38
Waddinxveen,34
Wassenaar,38
Woerden,21
Zoetermeer,36
Zoeterwoude,38
Borsele,28
Goes,28
Kapelle,28
West Maas en Waal,20
Hulst,28
Reimerswaal,28
Tholen,27
Middelburg,28
Giessenlanden,33
Zederik,33
Terneuzen,28
Pekela,0
Reusel-De Mierden,26
Roerdalen,2
Roosendaal,27
Veere,28
Vlissingen,28
Maasgouw,2
Eemsmond,0
Gemert-Bakel,26
Halderberge,27
Lingewaal,33
De Ronde Venen,30
Tytsjerksteradiel,6
Aalburg,23
Asten,26
Baarle-Nassau,29
Bergen op Zoom,27
Best,26
Boekel,40
Boxmeer,19
Boxtel,23
Breda,29
Deurne,26
Dongen,29
Eersel,26
Eindhoven,26
Etten-Leur,29
Schouwen-Duiveland,28
Aa en Hunze,0
Geertruidenberg,29
Gilze en Rijen,29
Goirle,41
Grave,19
Haaren,23
Helmond,26
's-Hertogenbosch,23
Heusden,23
Hilvarenbeek,41
Loon op Zand,23
Sint-Michielsgestel,23
Mill en Sint Hubert,19
"Nuenen, Gerwen en Nederwetten",26
Oirschot,26
Oisterwijk,41
Oosterhout,29
Oss,40
Rucphen,27
Someren,26
Son en Breugel,26
Nederweert,2
Borger-Odoorn,4
Steenbergen,27
Waterland,22
Tilburg,41
Uden,40
Valkenswaard,26
Cuijk,19
Veldhoven,26
Vught,23
Landerd,40
De Wolden,10
Lansingerland,36
Leudal,2
Noord-Beveland,28
Wijdemeren,25
Noordenveld,0
Twenterand,11
Westerveld,10
Waalre,26
Sint Anthonis,19
Waalwijk,23
Werkendam,33
Woensdrecht,27
Woudrichem,33
Zundert,29
Onderbanken,1
Wormerland,32
Brunssum,1
Landgraaf,1
Beek,1
Mook en Middelaar,19
Beesel,2
Bergen (L.),19
Gennep,19
Heerlen,1
Kerkrade,1
Maastricht,1
Meerssen,1
Nuth,1
Roermond,2
Schinnen,1
Simpelveld,1
Venray,2
Teylingen,38
Heeze-Leende,26
Laarbeek,26
De Marne,0
Lingewaard,7
Bernheze,40
Ferwerderadiel,6
Alphen-Chaam,29
Bergeijk,26
Rijssen-Holten,11
Westland,37
Midden-Delfland,36
Berkelland,18
Bronckhorst,18
Sittard-Geleen,1
Kaag en Braassem,38
Dantumadiel,6
Zuidplas,34
Peel en Maas,2
Oldambt,0
Zwartewaterland,10
Súdwest-Fryslân,6
Bodegraven-Reeuwijk,34
Hollands Kroon,31
Leidschendam-Voorburg,37
Pijnacker-Nootdorp,36
Molenwaard,33
Gooise Meren,25
Berg en Dal,19
Meierijstad,40
Waadhoeke,6
Westerwolde,4
