item,cluster
Appingedam,0
Bedum,0
Ten Boer,0
Delfzijl,0
Groningen,0
Grootegast,0
Stein,1
Vaals,1
Venlo,1
Haren,0
Leek,0
Loppersum,0
Marum,0
Almere,2
Voerendaal,1
Stadskanaal,0
Veendam,0
Zeewolde,3
Winsum,0
Zuidhorn,0
Dongeradeel,4
Achtkarspelen,4
Ameland,4
Valkenburg aan de Geul,1
Arnhem,5
Harlingen,4
Heerenveen,4
Kollumerland en Nieuwkruisland,4
Leeuwarden,4
Ooststellingwerf,4
Opsterland,4
Schiermonnikoog,4
Smallingerland,4
Terschelling,4
Vlieland,6
Weststellingwerf,4
Assen,0
Coevorden,0
Emmen,0
Hoogeveen,7
Meppel,7
Almelo,8
Borne,8
Dalfsen,7
Deventer,9
Cromstrijen,10
Enschede,8
Barneveld,3
Haaksbergen,8
Hardenberg,7
Hellendoorn,8
Heemstede,11
Diemen,11
Hengelo,8
Harderwijk,3
Kampen,7
Losser,8
Noordoostpolder,7
Haarlemmerliede en Spaarnwoude,11
Oldenzaal,8
Ommen,7
Raalte,7
Staphorst,7
Tubbergen,8
Urk,7
Weert,1
Wierden,8
Zwolle,7
Aalten,9
Apeldoorn,9
Beuningen,5
Brummen,9
Buren,12
Culemborg,12
Doesburg,5
Doetinchem,9
Druten,5
Lelystad,2
Horst aan de Maas,1
Oude IJsselstreek,9
Utrechtse Heuvelrug,12
Oost Gelre,9
Koggenland,13
Hattem,7
Duiven,5
Ede,3
Elburg,7
Rozendaal,5
Epe,9
Ermelo,3
Geldermalsen,12
Westervoort,5
Heerde,7
Heumen,5
Lochem,9
Zutphen,9
Maasdriel,14
Nijkerk,3
Nijmegen,5
Oldebroek,7
Putten,3
Renkum,5
Rheden,5
Bunschoten,3
Scherpenzeel,3
Tiel,12
Voorst,9
Wageningen,3
Winterswijk,9
Wijchen,5
Zaltbommel,14
Zevenaar,5
Nunspeet,7
Dronten,7
Neerijnen,12
Amersfoort,3
Baarn,3
De Bilt,12
Bunnik,12
Eemnes,2
Houten,12
Leusden,3
Lopik,12
Montfoort,12
Renswoude,3
Steenwijkerland,7
Rhenen,3
Soest,3
Utrecht,12
Veenendaal,3
Woudenberg,3
Cranendonck,15
Moerdijk,16
Echt-Susteren,1
Sluis,17
Drimmelen,16
Wijk bij Duurstede,12
IJsselstein,12
Zeist,12
Nieuwegein,12
Aalsmeer,11
Alkmaar,13
Blaricum,2
Amstelveen,11
Amsterdam,11
Beemster,11
Bergen (NH.),13
Beverwijk,11
Bladel,15
Gulpen-Wittem,1
Tynaarlo,0
Eijsden-Margraten,1
Stichtse Vecht,12
Midden-Drenthe,0
Overbetuwe,5
Hof van Twente,8
Neder-Betuwe,5
Geldrop-Mierlo,15
Olst-Wijhe,7
Dinkelland,8
Bloemendaal,11
Goeree-Overflakkee,10
Castricum,13
Edam-Volendam,11
Enkhuizen,13
Haarlem,11
Haarlemmermeer,11
Heemskerk,11
Heerhugowaard,13
Hoorn,13
Heiloo,13
Den Helder,13
Hilversum,2
Papendrecht,10
Huizen,2
Landsmeer,11
Langedijk,13
Laren,2
Purmerend,11
Medemblik,13
Oostzaan,11
Opmeer,13
Ouder-Amstel,11
Schagen,13
Texel,13
Uitgeest,11
Uithoorn,11
Velsen,11
Krimpenerwaard,10
De Fryske Marren,4
Midden-Groningen,0
Weesp,2
Zandvoort,11
Barendrecht,10
Zaanstad,11
Alblasserdam,10
Nissewaard,10
Montferland,9
Drechterland,13
Alphen aan den Rijn,18
Brielle,10
Capelle aan den IJssel,10
Delft,19
Dordrecht,10
Gorinchem,12
Gouda,18
's-Gravenhage,19
Hardinxveld-Giessendam,12
Hillegom,11
Hellevoetsluis,10
Hendrik-Ido-Ambacht,10
Stede Broec,13
Katwijk,18
Krimpen aan den IJssel,10
Leerdam,12
Leiden,18
Leiderdorp,18
Lisse,18
Maassluis,19
Nieuwkoop,18
Noordwijk,18
Noordwijkerhout,18
Oegstgeest,18
Oud-Beijerland,10
Binnenmaas,10
Korendijk,10
Oudewater,12
Rijswijk,19
Ridderkerk,10
Rotterdam,10
Schiedam,10
Sliedrecht,10
Albrandswaard,10
Westvoorne,10
Strijen,10
Zwijndrecht,10
Vianen,12
Vlaardingen,10
Voorschoten,18
Waddinxveen,18
Wassenaar,19
Woerden,12
Zoetermeer,19
Zoeterwoude,18
Borsele,17
Goes,17
Kapelle,17
West Maas en Waal,5
Hulst,17
Reimerswaal,17
Tholen,16
Middelburg,17
Giessenlanden,12
Zederik,12
Terneuzen,17
Pekela,0
Reusel-De Mierden,15
Roerdalen,1
Roosendaal,16
Veere,17
Vlissingen,17
Maasgouw,1
Eemsmond,0
Gemert-Bakel,15
Halderberge,16
Lingewaal,12
De Ronde Venen,11
Tytsjerksteradiel,4
Aalburg,14
Asten,15
Baarle-Nassau,16
Bergen op Zoom,16
Best,15
Boekel,14
Boxmeer,5
Boxtel,14
Breda,16
Deurne,15
Dongen,16
Eersel,15
Eindhoven,15
Etten-Leur,16
Schouwen-Duiveland,17
Aa en Hunze,0
Geertruidenberg,16
Gilze en Rijen,16
Goirle,14
Grave,5
Haaren,14
Helmond,15
's-Hertogenbosch,14
Heusden,14
Hilvarenbeek,14
Loon op Zand,14
Sint-Michielsgestel,14
Mill en Sint Hubert,5
"Nuenen, Gerwen en Nederwetten",15
Oirschot,15
Oisterwijk,14
Oosterhout,16
Oss,14
Rucphen,16
Someren,15
Son en Breugel,15
Nederweert,1
Borger-Odoorn,0
Steenbergen,16
Waterland,11
Tilburg,14
Uden,14
Valkenswaard,15
Cuijk,5
Veldhoven,15
Vught,14
Landerd,14
De Wolden,7
Lansingerland,19
Leudal,1
Noord-Beveland,17
Wijdemeren,2
Noordenveld,0
Twenterand,8
Westerveld,7
Waalre,15
Sint Anthonis,5
Waalwijk,14
Werkendam,12
Woensdrecht,16
Woudrichem,12
Zundert,16
Onderbanken,1
Wormerland,11
Brunssum,1
Landgraaf,1
Beek,1
Mook en Middelaar,5
Beesel,1
Bergen (L.),5
Gennep,5
Heerlen,1
Kerkrade,1
Maastricht,1
Meerssen,1
Nuth,1
Roermond,1
Schinnen,1
Simpelveld,1
Venray,1
Teylingen,18
Heeze-Leende,15
Laarbeek,15
De Marne,0
Lingewaard,5
Bernheze,14
Ferwerderadiel,4
Alphen-Chaam,16
Bergeijk,15
Rijssen-Holten,8
Westland,19
Midden-Delfland,19
Berkelland,9
Bronckhorst,9
Sittard-Geleen,1
Kaag en Braassem,18
Dantumadiel,4
Zuidplas,10
Peel en Maas,1
Oldambt,0
Zwartewaterland,7
Súdwest-Fryslân,4
Bodegraven-Reeuwijk,18
Hollands Kroon,13
Leidschendam-Voorburg,19
Pijnacker-Nootdorp,19
Molenwaard,10
Gooise Meren,2
Berg en Dal,5
Meierijstad,14
Waadhoeke,4
Westerwolde,0
