item,cluster
Appingedam,0
Bedum,0
Ten Boer,0
Delfzijl,0
Groningen,0
Grootegast,0
Stein,1
Vaals,1
Venlo,2
Haren,0
Leek,0
Loppersum,0
Marum,0
Almere,3
Voerendaal,1
Stadskanaal,4
Veendam,4
Zeewolde,5
Winsum,0
Zuidhorn,0
Dongeradeel,6
Achtkarspelen,6
Ameland,6
Valkenburg aan de Geul,7
Arnhem,8
Harlingen,6
Heerenveen,9
Kollumerland en Nieuwkruisland,6
Leeuwarden,6
Ooststellingwerf,9
Opsterland,9
Schiermonnikoog,10
Smallingerland,9
Terschelling,11
Vlieland,12
Weststellingwerf,9
Assen,13
Coevorden,14
Emmen,14
Hoogeveen,15
Meppel,15
Almelo,16
Borne,17
Dalfsen,18
Deventer,19
Cromstrijen,20
Enschede,17
Barneveld,21
Haaksbergen,17
Hardenberg,18
Hellendoorn,16
Heemstede,22
Diemen,23
Hengelo,17
Harderwijk,5
Kampen,24
Losser,17
Noordoostpolder,25
Haarlemmerliede en Spaarnwoude,22
Oldenzaal,17
Ommen,18
Raalte,19
Staphorst,15
Tubbergen,16
Urk,25
Weert,26
Wierden,16
Zwolle,24
Aalten,27
Apeldoorn,28
Beuningen,29
Brummen,30
Buren,31
Culemborg,31
Doesburg,8
Doetinchem,27
Druten,31
Lelystad,32
Horst aan de Maas,2
Oude IJsselstreek,27
Utrechtse Heuvelrug,33
Oost Gelre,27
Koggenland,34
Hattem,24
Duiven,8
Ede,21
Elburg,24
Rozendaal,8
Epe,28
Ermelo,5
Geldermalsen,31
Westervoort,8
Heerde,24
Heumen,29
Lochem,30
Zutphen,30
Maasdriel,35
Nijkerk,36
Nijmegen,29
Oldebroek,24
Putten,5
Renkum,8
Rheden,8
Bunschoten,36
Scherpenzeel,21
Tiel,31
Voorst,19
Wageningen,21
Winterswijk,27
Wijchen,29
Zaltbommel,35
Zevenaar,8
Nunspeet,5
Dronten,32
Neerijnen,31
Amersfoort,36
Baarn,36
De Bilt,33
Bunnik,33
Eemnes,37
Houten,38
Leusden,36
Lopik,38
Montfoort,39
Renswoude,21
Steenwijkerland,15
Rhenen,31
Soest,36
Utrecht,40
Veenendaal,21
Woudenberg,33
Cranendonck,26
Moerdijk,41
Echt-Susteren,26
Sluis,42
Drimmelen,43
Wijk bij Duurstede,33
IJsselstein,38
Zeist,33
Nieuwegein,38
Aalsmeer,44
Alkmaar,45
Blaricum,37
Amstelveen,44
Amsterdam,23
Beemster,46
Bergen (NH.),45
Beverwijk,47
Bladel,48
Gulpen-Wittem,1
Tynaarlo,0
Eijsden-Margraten,7
Stichtse Vecht,49
Midden-Drenthe,13
Overbetuwe,8
Hof van Twente,17
Neder-Betuwe,31
Geldrop-Mierlo,50
Olst-Wijhe,19
Dinkelland,17
Bloemendaal,22
Goeree-Overflakkee,51
Castricum,47
Edam-Volendam,46
Enkhuizen,34
Haarlem,22
Haarlemmermeer,52
Heemskerk,47
Heerhugowaard,45
Hoorn,34
Heiloo,45
Den Helder,53
Hilversum,37
Papendrecht,54
Huizen,37
Landsmeer,46
Langedijk,45
Laren,37
Purmerend,46
Medemblik,34
Oostzaan,55
Opmeer,34
Ouder-Amstel,44
Schagen,53
Texel,53
Uitgeest,47
Uithoorn,44
Velsen,22
Krimpenerwaard,56
De Fryske Marren,9
Midden-Groningen,0
Weesp,37
Zandvoort,22
Barendrecht,57
Zaanstad,55
Alblasserdam,54
Nissewaard,51
Montferland,27
Drechterland,34
Alphen aan den Rijn,58
Brielle,51
Capelle aan den IJssel,59
Delft,60
Dordrecht,54
Gorinchem,61
Gouda,56
's-Gravenhage,62
Hardinxveld-Giessendam,61
Hillegom,52
Hellevoetsluis,51
Hendrik-Ido-Ambacht,57
Stede Broec,34
Katwijk,63
Krimpen aan den IJssel,59
Leerdam,61
Leiden,63
Leiderdorp,63
Lisse,52
Maassluis,64
Nieuwkoop,58
Noordwijk,63
Noordwijkerhout,63
Oegstgeest,63
Oud-Beijerland,20
Binnenmaas,20
Korendijk,20
Oudewater,39
Rijswijk,62
Ridderkerk,57
Rotterdam,65
Schiedam,66
Sliedrecht,54
Albrandswaard,57
Westvoorne,51
Strijen,20
Zwijndrecht,57
Vianen,38
Vlaardingen,66
Voorschoten,63
Waddinxveen,56
Wassenaar,67
Woerden,39
Zoetermeer,68
Zoeterwoude,63
Borsele,69
Goes,69
Kapelle,69
West Maas en Waal,31
Hulst,42
Reimerswaal,69
Tholen,70
Middelburg,69
Giessenlanden,61
Zederik,61
Terneuzen,42
Pekela,4
Reusel-De Mierden,48
Roerdalen,26
Roosendaal,41
Veere,69
Vlissingen,69
Maasgouw,26
Eemsmond,0
Gemert-Bakel,71
Halderberge,41
Lingewaal,61
De Ronde Venen,44
Tytsjerksteradiel,6
Aalburg,35
Asten,71
Baarle-Nassau,72
Bergen op Zoom,70
Best,50
Boekel,73
Boxmeer,74
Boxtel,75
Breda,43
Deurne,71
Dongen,43
Eersel,48
Eindhoven,50
Etten-Leur,41
Schouwen-Duiveland,69
Aa en Hunze,4
Geertruidenberg,43
Gilze en Rijen,72
Goirle,72
Grave,29
Haaren,75
Helmond,71
's-Hertogenbosch,75
Heusden,35
Hilvarenbeek,72
Loon op Zand,35
Sint-Michielsgestel,75
Mill en Sint Hubert,74
"Nuenen, Gerwen en Nederwetten",50
Oirschot,48
Oisterwijk,72
Oosterhout,43
Oss,73
Rucphen,41
Someren,71
Son en Breugel,50
Nederweert,26
Borger-Odoorn,4
Steenbergen,70
Waterland,46
Tilburg,72
Uden,73
Valkenswaard,50
Cuijk,74
Veldhoven,50
Vught,75
Landerd,73
De Wolden,15
Lansingerland,76
Leudal,26
Noord-Beveland,69
Wijdemeren,37
Noordenveld,0
Twenterand,16
Westerveld,15
Waalre,50
Sint Anthonis,74
Waalwijk,35
Werkendam,61
Woensdrecht,70
Woudrichem,61
Zundert,41
Onderbanken,1
Wormerland,55
Brunssum,1
Landgraaf,1
Beek,1
Mook en Middelaar,74
Beesel,2
Bergen (L.),74
Gennep,74
Heerlen,1
Kerkrade,1
Maastricht,7
Meerssen,7
Nuth,1
Roermond,26
Schinnen,1
Simpelveld,1
Venray,2
Teylingen,63
Heeze-Leende,50
Laarbeek,71
De Marne,0
Lingewaard,8
Bernheze,73
Ferwerderadiel,6
Alphen-Chaam,72
Bergeijk,48
Rijssen-Holten,16
Westland,64
Midden-Delfland,60
Berkelland,27
Bronckhorst,27
Sittard-Geleen,1
Kaag en Braassem,58
Dantumadiel,6
Zuidplas,56
Peel en Maas,2
Oldambt,4
Zwartewaterland,24
Súdwest-Fryslân,6
Bodegraven-Reeuwijk,56
Hollands Kroon,53
Leidschendam-Voorburg,67
Pijnacker-Nootdorp,60
Molenwaard,54
Gooise Meren,37
Berg en Dal,29
Meierijstad,73
Waadhoeke,6
Westerwolde,4
