name,susceptible,exposed,infected_tested,infected_nottested,removed_tested,removed_nottested,inhabitant
Westland,102230.0,315.0,41.0,574.0,166.0,2324.0,105650.0
Midden-Delfland,18810.0,15.0,2.0,28.0,12.0,168.0,19035.0
Berkelland,43265.0,180.0,14.0,196.0,38.0,532.0,44225.0
Bronckhorst,35500.0,150.0,14.0,196.0,37.0,518.0,36415.0
Sittard-Geleen,88175.0,375.0,48.0,672.0,256.0,3584.0,93110.0
Kaag en Braassem,25980.0,60.0,4.0,56.0,18.0,252.0,26370.0
Dantumadiel,18875.0,0.0,0.0,0.0,5.0,70.0,18950.0
Zuidplas,39790.0,195.0,27.0,378.0,72.0,1008.0,41470.0
Peel en Maas,39585.0,180.0,12.0,168.0,227.0,3178.0,43350.0
Oldambt,37920.0,60.0,2.0,28.0,6.0,84.0,38100.0
Zwartewaterland,20375.0,135.0,13.0,182.0,107.0,1498.0,22310.0
Súdwest-Fryslân,88520.0,15.0,7.0,98.0,61.0,854.0,89555.0
Bodegraven-Reeuwijk,33105.0,105.0,3.0,42.0,31.0,434.0,33720.0
Hollands Kroon,46730.0,15.0,6.0,84.0,51.0,714.0,47600.0
Leidschendam-Voorburg,73260.0,195.0,11.0,154.0,65.0,910.0,74595.0
Pijnacker-Nootdorp,51235.0,150.0,19.0,266.0,66.0,924.0,52660.0
Molenwaard,28249.674546077425,70.02398081534776,4.668265387689843,65.3557154276578,54.01849948612539,756.2589928057555,29200.000000000004
Gooise Meren,55590.0,30.0,11.0,154.0,76.0,1064.0,56925.0
Berg en Dal,32645.0,90.0,22.0,308.0,113.0,1582.0,34760.0
Meierijstad,72780.0,315.0,40.0,560.0,412.0,5768.0,79875.0
Waadhoeke,44810.0,120.0,14.0,196.0,61.0,854.0,46055.0
Westerwolde,24735.0,0.0,1.0,14.0,5.0,70.0,24825.0
