name,susceptible,exposed,infected_tested,infected_nottested,removed_tested,removed_nottested,inhabitant
Appingedam,11970.0,0.0,0.0,0.0,0.0,0.0,11970.0
Bedum,10480.0,0.0,0.0,0.0,0.0,0.0,10480.0
Ten Boer,7288.091623036649,1.9083769633507854,0.0,0.0,0.0,0.0,7290.0
Delfzijl,24975.0,0.0,0.0,0.0,0.0,0.0,24975.0
Groningen,202282.03272251307,52.967277486910994,0.0,0.0,0.0,0.0,202335.0
Grootegast,12165.0,0.0,0.0,0.0,0.0,0.0,12165.0
Stein,25020.0,45.0,0.0,0.0,0.0,0.0,25065.0
Vaals,9710.0,0.0,0.0,0.0,0.0,0.0,9710.0
Venlo,101005.0,30.0,1.0,14.0,0.0,0.0,101050.0
Haren,19569.87565445026,5.12434554973822,0.0,0.0,0.0,0.0,19575.0
Leek,19630.0,0.0,0.0,0.0,0.0,0.0,19630.0
Loppersum,9900.0,0.0,0.0,0.0,0.0,0.0,9900.0
Marum,10400.0,0.0,0.0,0.0,0.0,0.0,10400.0
Almere,200860.0,15.0,0.0,0.0,1.0,14.0,200890.0
Voerendaal,12460.0,0.0,0.0,0.0,0.0,0.0,12460.0
Stadskanaal,32245.0,0.0,0.0,0.0,0.0,0.0,32245.0
Veendam,27530.0,0.0,0.0,0.0,0.0,0.0,27530.0
Zeewolde,22425.0,15.0,0.0,0.0,1.0,14.0,22455.0
Winsum,13600.0,0.0,0.0,0.0,0.0,0.0,13600.0
Zuidhorn,18860.0,0.0,0.0,0.0,0.0,0.0,18860.0
Dongeradeel,23920.0,0.0,0.0,0.0,0.0,0.0,23920.0
Achtkarspelen,27905.0,0.0,0.0,0.0,0.0,0.0,27905.0
Ameland,3630.0,0.0,0.0,0.0,0.0,0.0,3630.0
Valkenburg aan de Geul,16450.0,0.0,0.0,0.0,0.0,0.0,16450.0
Arnhem,155635.0,30.0,2.0,28.0,0.0,0.0,155695.0
Harlingen,15865.0,0.0,0.0,0.0,0.0,0.0,15865.0
Heerenveen,50190.0,0.0,0.0,0.0,0.0,0.0,50190.0
Kollumerland en Nieuwkruisland,12870.0,0.0,0.0,0.0,0.0,0.0,12870.0
Leeuwarden,122195.0,15.0,0.0,0.0,0.0,0.0,122210.0
Ooststellingwerf,25545.0,0.0,0.0,0.0,0.0,0.0,25545.0
Opsterland,29685.0,0.0,2.0,28.0,0.0,0.0,29715.0
Schiermonnikoog,940.0,0.0,0.0,0.0,0.0,0.0,940.0
Smallingerland,55645.0,30.0,0.0,0.0,0.0,0.0,55675.0
Terschelling,4855.0,0.0,0.0,0.0,0.0,0.0,4855.0
Vlieland,1085.0,0.0,0.0,0.0,0.0,0.0,1085.0
Weststellingwerf,25615.0,0.0,0.0,0.0,0.0,0.0,25615.0
Assen,67545.0,0.0,0.0,0.0,0.0,0.0,67545.0
Coevorden,35115.0,0.0,9.0,126.0,2.0,28.0,35280.0
Emmen,107470.0,15.0,1.0,14.0,0.0,0.0,107500.0
Hoogeveen,55270.0,30.0,0.0,0.0,0.0,0.0,55300.0
Meppel,33020.0,0.0,0.0,0.0,0.0,0.0,33020.0
Almelo,72465.0,0.0,1.0,14.0,0.0,0.0,72480.0
Borne,22770.0,0.0,2.0,28.0,0.0,0.0,22800.0
Dalfsen,28075.0,0.0,0.0,0.0,0.0,0.0,28075.0
Deventer,99270.0,0.0,0.0,0.0,0.0,0.0,99270.0
Cromstrijen,12790.519173524777,0.0,0.29872176501488357,4.18210471020837,0.0,0.0,12795.0
Enschede,158105.0,45.0,0.0,0.0,0.0,0.0,158150.0
Barneveld,56355.0,0.0,0.0,0.0,0.0,0.0,56355.0
Haaksbergen,24245.0,0.0,0.0,0.0,0.0,0.0,24245.0
Hardenberg,60200.0,0.0,0.0,0.0,0.0,0.0,60200.0
Hellendoorn,35740.0,0.0,2.0,28.0,0.0,0.0,35770.0
Heemstede,26905.0,15.0,1.0,14.0,0.0,0.0,26935.0
Diemen,27275.0,0.0,0.0,0.0,0.0,0.0,27275.0
Hengelo,80810.0,0.0,0.0,0.0,0.0,0.0,80810.0
Harderwijk,46330.0,30.0,0.0,0.0,0.0,0.0,46360.0
