name,susceptible,exposed,infected_tested,infected_nottested,removed_tested,removed_nottested
Appingedam,11969.999621553166,0.0002813271862405853,5.373525940469521e-06,7.522936316657329e-05,1.1011172658923102e-06,1.5415641722492345e-05
Bedum,10479.999618255339,0.00029008548357428455,5.130739728269153e-06,7.183035619576813e-05,9.798722030034648e-07,1.3718210842048508e-05
Ten Boer,7289.999795361828,0.00015961426197555397,2.5608704981416373e-06,3.585218697398292e-05,4.4072357621163414e-07,6.170130066962878e-06
Delfzijl,24974.998952213773,0.0007626167097420798,1.562858193760432e-05,0.0002188001471264605,3.3827192844509357e-06,4.735806998231309e-05
Groningen,202334.89096109627,0.07618258781127311,0.0017730845018462413,0.02482318302584738,0.00041733655849611505,0.00584271181894561
Grootegast,12164.9996190332,0.0002832613007065399,5.4064842972950766e-06,7.569078016213108e-05,1.10721569089966e-06,1.550101967259524e-05
Stein,25064.919140273923,0.05659459281567716,0.0013102667209442843,0.01834373409321998,0.0003074088296694578,0.00430372361537241
Vaals,9709.992950094349,0.004981502197963156,0.00011206260318773588,0.0015688764446283028,2.5830960341326825e-05,0.0003616334447785756
Venlo,101044.44222433839,2.9762760465026616,0.1153403922128203,1.6147654909794844,0.05675958212922663,0.7946341498091729
Haren,19574.997401260767,0.0018787008593452287,3.93551073658543e-05,0.0005509715031219601,8.647450547555282e-06,0.00012106430766577395
Leek,19629.99863424614,0.0009917027221028943,2.048031621411157e-05,0.000286724426997562,4.456426117980327e-06,6.238996565172459e-05
Loppersum,9899.99976915247,0.00017730371672983777,3.0150337412592296e-06,4.2210472377629225e-05,5.545537935371911e-07,7.763753109520677e-06
Marum,10399.999453221415,0.0003991184067994402,8.102482815225767e-06,0.00011343475941316076,1.7415290108587175e-06,2.438140615202205e-05
Almere,200889.75625247782,0.17066281203828962,0.003946896274345338,0.05525654784083474,0.0009254177366542812,0.012955848313159936
Voerendaal,12459.985141454219,0.010512854936225183,0.00023555579219021133,0.0032977810906629585,5.4156930745816385e-05,0.0007581970304414295
Stadskanaal,32244.998416571347,0.0011821376203025125,2.225560010521345e-05,0.0003115784014729883,4.497135741318114e-06,6.295990037845359e-05
Veendam,27529.998198385132,0.0013327922865282434,2.5886786815223458e-05,0.0003624150154131284,5.368051753898295e-06,7.515272455457611e-05
Zeewolde,22454.967657420766,0.02277590429811077,0.000517683321451621,0.007247566500322694,0.00012009500789073304,0.0016813301104702623
Winsum,13599.999469472421,0.00039645748504566576,7.438468708168276e-06,0.00010413856191435588,1.4995375602130191e-06,2.099352584298227e-05
Zuidhorn,18859.99863424161,0.0009881620641465142,2.0644749106073214e-05,0.00028902648748502506,4.528339242265768e-06,6.339674939172076e-05
Dongeradeel,23919.998350063495,0.0011747791390933375,2.581448711120917e-05,0.00036140281955692843,5.862670742220839e-06,8.207739039109176e-05
Achtkarspelen,27904.998766413235,0.0008913687981253624,1.8698461820154065e-05,0.0002617784654821569,4.116068875028945e-06,5.762496425040522e-05
Ameland,3629.9980172480223,0.0013907313284760728,3.199187452656996e-05,0.0004478862433719795,7.476168804842963e-06,0.00010466636326780149
Valkenburg aan de Geul,16449.965321965374,0.02435405854858206,0.0005581298342243541,0.007813817679140958,0.00013013523791118817,0.001821893330756634
Arnhem,155687.36346395503,4.037014164224247,0.15986682488200732,2.2381355483481022,0.08010130050098449,1.1214182070137828
Harlingen,15864.995238124427,0.0033550486875086687,7.614152438485927e-05,0.0010659813413880297,1.764693466898224e-05,0.0002470570853657513
Heerenveen,50189.98831955697,0.00825187502956357,0.00018573986824346693,0.0026003581554085373,4.283133174185154e-05,0.0005996386443859216
Kollumerland en Nieuwkruisland,12869.999919082136,6.774126223221766e-05,7.98421065729806e-07,1.1177894920217285e-05,8.00191211478026e-08,1.1202676960692365e-06
Leeuwarden,122209.95502502254,0.03148780414192873,0.0007283501938398264,0.010196902713757568,0.00017079469392414557,0.002391125714938038
Ooststellingwerf,25544.998360070418,0.0011823820975730137,2.497869877776365e-05,0.00034970178288869105,5.52446633099517e-06,7.734252863393238e-05
Opsterland,29714.998032589487,0.0014211442066722358,2.984424732240945e-05,0.00041781946251373233,6.573506493559126e-06,9.202909090982778e-05
Schiermonnikoog,939.9996147762239,0.000270074973883193,6.221378892714243e-06,8.709930449799941e-05,1.4552079213033806e-06,2.037291089824733e-05
Smallingerland,55674.995088963406,0.0035050478647815227,7.645457084815436e-05,0.001070363991874161,1.7278011537693076e-05,0.00024189216152770303
Terschelling,4854.996232871927,0.0026364085825094233,6.105498576613636e-05,0.0008547698007259092,1.4326313693892996e-05,0.00020056839171450196
Vlieland,1084.9999043737155,6.693945791913834e-05,1.5490990496494394e-06,2.1687386695092154e-05,3.6335603721796415e-07,5.0869845210514986e-06
Weststellingwerf,25614.997334906253,0.0019122405186124012,4.10218289446729e-05,0.0005743056052254206,9.168386326331244e-06,0.00012835740856863742
Assen,67544.97104065744,0.02037286298569601,0.00046448455390014285,0.0065027837546020005,0.000107947417847777,0.001511263849868878
Coevorden,35279.95480036756,0.031427464545249265,0.0007420094450202529,0.010388132230283542,0.00017613508147998333,0.0024658911407197666
Emmen,107499.96070154096,0.027578032024683792,0.0006334636188797659,0.008868490664316723,0.0001478981833956167,0.002070574567538634
Hoogeveen,55299.99152363092,0.00605183898708131,0.00013186491692167206,0.001846108836903409,2.9770422572598672e-05,0.0004167859160163814
Meppel,33019.99270178563,0.005198906620023106,0.00011407503338964127,0.0015970504674549775,2.5878816241368348e-05,0.0003623034273791568
Almelo,72479.96618724463,0.023751922951592754,0.0005439444682873997,0.007615222556023595,0.00012677769207901206,0.0017748876891061688
Borne,22799.99292155338,0.005035899788143375,0.00011094120549823936,0.0015531768769753514,2.5228583184247573e-05,0.000353200164579466
Dalfsen,28074.99277173499,0.005165944481846487,0.00011220764383679223,0.0015709070137150914,2.5280391412228728e-05,0.00035392547977120226
Deventer,99268.48885772856,0.7624857607895312,0.03262844371617825,0.4567982120264955,0.017281990328686797,0.24194786460161521
Cromstrijen,12794.989623947231,0.00736022727890402,0.00016362383224035327,0.002290733651364946,3.7431200346208104e-05,0.0005240368048469135
Enschede,158149.87631717164,0.08631743670558051,0.0020156662550277734,0.02821932757038883,0.000475359854522875,0.006655037963320251
Barneveld,56354.80677541834,0.1348644970647958,0.0031483286141033373,0.044076600597446725,0.000742343692067138,0.010392811688939931
Haaksbergen,24244.99561326548,0.0031428661896549213,6.774142941313161e-05,0.0009483800117838426,1.5183125846472947e-05,0.00021256376185062125
Hardenberg,60199.982486246525,0.01238605260577705,0.00027790202506037116,0.003890628350845196,6.394469951039944e-05,0.0008952257931455921
Hellendoorn,35769.991009342615,0.00636981581336628,0.0001421301960639798,0.0019898227448957168,3.259257505899133e-05,0.0004562960508258786
Heemstede,26934.963499477642,0.025669807373467315,0.0005858091905335879,0.00820132866747023,0.0001362384750418876,0.0019073386505864263
Diemen,27274.944416939616,0.03902976324108867,0.0008948478261795179,0.01252786956651325,0.00020870531624527075,0.0029218744274337907
Hengelo,80809.94040688792,0.04168954092059249,0.0009665939287790363,0.013532315002906508,0.00022697748223243503,0.0031776847512540907
Harderwijk,46359.956153769446,0.030883288291242282,0.0007015155796748869,0.009821218115448416,0.0001626805715371079,0.0022775280015195102
Kampen,52504.97904012757,0.01483867681247627,0.0003318699241472426,0.004646178938061396,7.620978394764512e-05,0.0010669369752670315
Losser,22474.993956450628,0.004292473289008918,9.505131974625899e-05,0.001330718476447626,2.1687085862604872e-05,0.00030361920207646817
Noordoostpolder,46549.98612635367,0.009811401084893168,0.0002201523771270577,0.0030821332797788077,5.0663971548812686e-05,0.0007092956016833774
Haarlemmerliede en Spaarnwoude,5664.987160550512,0.00903457551612648,0.00020583636617009206,0.0028817091263812883,4.7821898590741884e-05,0.0006695065802703864
Oldenzaal,32004.99050003109,0.0067212556516239984,0.00015061661495991346,0.0021086326094387885,3.463093558267681e-05,0.0004848330981574754
Ommen,17529.995697928985,0.0030620142899364816,6.736229224534474e-05,0.0009430720914348264,1.530815571650519e-05,0.00021431418003107269
Raalte,36894.97439429834,0.0179752919103306,0.0004124499290857701,0.005774299007200782,9.624405467672603e-05,0.0013474167654741645
Staphorst,16614.99662784798,0.0024193980945400864,5.191346324055375e-05,0.0007267884853677525,1.1603465107065042e-05,0.0001624485114989106
Tubbergen,21154.99484443284,0.0036553764451862517,8.137845658066244e-05,0.0011392983921292743,1.8634257857658462e-05,0.00026087961000721845
Urk,20219.997876374066,0.001511956739968981,3.3230703282281294e-05,0.0004652298459519381,7.547242947214697e-06,0.00010566140126100575
Weert,49568.314757129796,0.9083431812303744,0.03479333903406231,0.4871067464768723,0.016999973564027177,0.23799962989638052
Wierden,24219.99296623231,0.005003690552807857,0.00011025922787658384,0.0015436291902721738,2.5079248231864617e-05,0.00035110947524610457
Zwolle,125549.82754968798,0.12050243340844115,0.002803493373619628,0.03924890723067479,0.0006596985329822929,0.0092357794617521
Aalten,27034.982811907757,0.012174091369841981,0.0002718841343003758,0.003806377880205261,6.238259038580853e-05,0.0008733562654013196
Apeldoorn,160031.64485065656,1.7102679732913444,0.07196986867366745,1.0075781614313444,0.03768888933399568,0.5276444506759396
Beuningen,25414.725850439747,2.7339065757562793,0.11193341159765305,1.5670677623671425,0.05741612070209212,0.8038256898292897
Brummen,20839.95097211717,0.0344193414316121,0.0007896577900954095,0.011055209061335732,0.0001842449696371969,0.0025794295749207567
Buren,26284.73169173659,0.18800804303215599,0.004337808577161,0.06072932008025401,0.0010155394481396384,0.01421755227395494
Culemborg,27859.820120684817,0.12587031965824036,0.002916161874638272,0.04082626624493581,0.0006844378274890324,0.009582129584846453
Doesburg,11344.97693985901,0.016348699682047798,0.00036406243674091856,0.0050968741143728605,8.336698367441063e-05,0.001167137771441749
