name,susceptible,exposed,infected_tested,infected_nottested,removed_tested,removed_nottested
Appingedam,11967.92969789106,0.7075166534545944,0.042107692486618,0.5895076948126521,0.048744671212294484,0.6824253969721228
Bedum,10478.205583637344,0.6099068085660538,0.03648363892959491,0.5107709450143287,0.04248366467654149,0.5947713054715807
Ten Boer,7288.711580231274,0.4449522683253663,0.026235551521058054,0.36729772129481275,0.02999561517244736,0.41993861241426306
Delfzijl,24971.016543345166,1.3042300016365929,0.08066105330929399,1.1292547463301161,0.09795405690423621,1.3713567966593074
Groningen,202304.3912616204,9.709926738204716,0.6180239968733685,8.652335956227159,0.7752301125519917,10.853221575727881
Grootegast,12162.881649641067,0.7271953699823449,0.043077733145948996,0.603088264043286,0.049665932784079464,0.6953230589771126
Stein,25061.015683141297,1.295933692317674,0.08083196019165764,1.1316474426832068,0.09839358423406908,1.3775101792769666
Vaals,9708.621156751233,0.41824827648725493,0.027776770883687567,0.388874792371626,0.0362628939351418,0.5076805150919852
Venlo,101035.99982324943,4.16969532159455,0.2817101655089763,3.943942317125669,0.373655263089565,5.2311736832539095
Haren,19571.576930089275,1.1740709876527446,0.06971945497052104,0.9760723695872944,0.08021380656782881,1.1229932919496033
Leek,19626.605769236863,1.1597144836552176,0.06903668667907405,0.9665136135070367,0.07993106528603014,1.1190349140044222
Loppersum,9898.235746535096,0.612346197703691,0.03592223081571495,0.5029112314200093,0.040871586997545103,0.5722022179656315
Marum,10398.133397192709,0.6501966701594767,0.03801619303340943,0.5322267024677322,0.04307754944188139,0.6030856921863395
Almere,200862.07674887765,8.375001527984683,0.5608947769248642,7.852526876948099,0.7423218627028589,10.392506077840025
Voerendaal,12457.95660575468,0.676749206072822,0.041514276691324334,0.5811998736785406,0.04959539259195577,0.6943354962873809
Stadskanaal,32240.08833441611,1.5625394639147305,0.09927279144139256,1.389819080179496,0.12400228322386558,1.7360319651341185
Veendam,27525.566039214234,1.4570639684340416,0.08990442459316762,1.2586619443043467,0.10855536322898135,1.5197750852057388
Zeewolde,22450.92797440629,1.417507896700469,0.08318811466340838,1.1646336052877173,0.09377973180411993,1.312916245257679
Winsum,13597.753996144922,0.748667029437553,0.04559124357298697,0.6382774100218175,0.05423121146971209,0.7592369605759692
Zuidhorn,18856.943815746174,1.0090413376881047,0.061952072933427554,0.8673290210679858,0.07452412147628897,1.0433377006680453
Dongeradeel,23916.3459765989,1.1644651374046204,0.07386576408069664,1.034120697129753,0.0921047868323697,1.2894670156531756
Achtkarspelen,27900.422662907957,1.5213896579788657,0.0928497594704285,1.2998966325859993,0.11088006946739859,1.5523209725435803
Ameland,3629.4736304743533,0.16207317575921473,0.010613501773183064,0.14858902482456288,0.013672921552610746,0.19142090173655044
Valkenburg aan de Geul,16447.33595797907,0.8752852810261786,0.054112243043984654,0.757571402615785,0.06513820628306947,0.9119348879629725
Arnhem,155669.74703201046,8.326354496518917,0.5123612120810787,7.173056969135102,0.6160796874562249,8.625115624387151
Harlingen,15862.598967957507,0.7561721135811379,0.048637198722275926,0.6809207821118629,0.06102012987198425,0.8542818182077795
Heerenveen,50181.59880571831,2.8141226616580983,0.1708357075929539,2.391699906301355,0.20163573374276836,2.822900272398757
Kollumerland en Nieuwkruisland,12867.830115035626,0.7313179619487109,0.044093104868385996,0.6173034681574041,0.051811361959973476,0.7253590674396287
Leeuwarden,122192.00066111174,5.595630090868738,0.36336619123686076,5.087126677316051,0.4635477285903251,6.48966820026455
Ooststellingwerf,25541.082689160157,1.252371273642317,0.07917571235767805,1.1084599730074929,0.09848692538915804,1.3788169554482126
Opsterland,29709.952427641085,1.706895266959628,0.10263393458507719,1.4368750841910807,0.1200778715452533,1.6810902016335465
Schiermonnikoog,939.8788751291978,0.034181027308106696,0.0024240261035269163,0.03393636544937683,0.003372230129408825,0.047211221811723554
Smallingerland,55666.41493035851,2.7538126338716937,0.1735741511133466,2.4300381155868527,0.21517631606068438,3.012468424849581
Terschelling,4854.387188394985,0.16995013020530708,0.012247702047330486,0.1714678286626268,0.017276396273245186,0.24186954782543266
Vlieland,1084.8892049944839,0.024676699009587924,0.0021750562118485277,0.030450786965879394,0.0035661642219111983,0.04992629910675678
Weststellingwerf,25610.81476141421,1.3854288020231964,0.08495220991380063,1.1893309387932087,0.10170177567076692,1.4238248593907368
Assen,67534.75015140709,3.253784824546792,0.20710259260018082,2.8994362964025315,0.2593016586236352,3.630223220730893
Coevorden,35274.568254371196,1.727837767692731,0.11016233985730514,1.542272758002272,0.13676485088278723,1.9147079123590214
Emmen,107485.85197079447,4.066452222849182,0.283393460218434,3.967508443058076,0.388711671959573,5.441963407434022
Hoogeveen,55292.095191912565,2.4108069230968967,0.15924687827000775,2.2294562957801087,0.2070198660190657,2.8982781242669198
Meppel,33014.526380735915,1.8275343291175044,0.11115147118755712,1.5561205966257996,0.13192085780981824,1.8468920093374557
Almelo,72469.40637691082,3.2719563293731304,0.21390497767151928,2.99466968740127,0.27420613964905743,3.8388859550868046
Borne,22796.201858532593,1.2632335925656974,0.07737502008061527,1.0832502811286138,0.09161883824259388,1.2826637353963144
