item,cluster
Appingedam,0
Bedum,0
Ten Boer,0
Delfzijl,0
Groningen,0
Grootegast,0
Stein,1
Vaals,1
Venlo,2
Haren,0
Leek,0
Loppersum,0
Marum,0
Almere,3
Voerendaal,1
Stadskanaal,0
Veendam,0
Zeewolde,4
Winsum,0
Zuidhorn,0
Dongeradeel,5
Achtkarspelen,5
Ameland,5
Valkenburg aan de Geul,1
Arnhem,6
Harlingen,5
Heerenveen,5
Kollumerland en Nieuwkruisland,5
Leeuwarden,5
Ooststellingwerf,5
Opsterland,5
Schiermonnikoog,5
Smallingerland,5
Terschelling,5
Vlieland,3
Weststellingwerf,5
Assen,0
Coevorden,0
Emmen,0
Hoogeveen,0
Meppel,7
Almelo,8
Borne,8
Dalfsen,7
Deventer,7
Cromstrijen,9
Enschede,8
Barneveld,4
Haaksbergen,8
Hardenberg,7
Hellendoorn,8
Heemstede,3
Diemen,3
Hengelo,8
Harderwijk,4
Kampen,7
Losser,8
Noordoostpolder,7
Haarlemmerliede en Spaarnwoude,3
Oldenzaal,8
Ommen,7
Raalte,7
Staphorst,7
Tubbergen,8
Urk,7
Weert,2
Wierden,8
Zwolle,7
Aalten,6
Apeldoorn,7
Beuningen,6
Brummen,7
Buren,10
Culemborg,10
Doesburg,6
Doetinchem,6
Druten,6
Lelystad,7
Horst aan de Maas,2
Oude IJsselstreek,6
Utrechtse Heuvelrug,11
Oost Gelre,6
Koggenland,12
Hattem,7
Duiven,6
Ede,4
Elburg,7
Rozendaal,6
Epe,7
Ermelo,4
Geldermalsen,10
Westervoort,6
Heerde,7
Heumen,6
Lochem,7
Zutphen,7
Maasdriel,10
Nijkerk,4
Nijmegen,6
Oldebroek,7
Putten,4
Renkum,6
Rheden,6
Bunschoten,4
Scherpenzeel,4
Tiel,10
Voorst,7
Wageningen,4
Winterswijk,6
Wijchen,6
Zaltbommel,10
Zevenaar,6
Nunspeet,7
Dronten,7
Neerijnen,10
Amersfoort,4
Baarn,4
De Bilt,11
Bunnik,11
Eemnes,4
Houten,11
Leusden,4
Lopik,11
Montfoort,11
Renswoude,4
Steenwijkerland,7
Rhenen,4
Soest,4
Utrecht,11
Veenendaal,4
Woudenberg,4
Cranendonck,2
Moerdijk,13
Echt-Susteren,1
Sluis,14
Drimmelen,13
Wijk bij Duurstede,11
IJsselstein,11
Zeist,11
Nieuwegein,11
Aalsmeer,3
Alkmaar,12
Blaricum,4
Amstelveen,3
Amsterdam,3
Beemster,3
Bergen (NH.),12
Beverwijk,12
Bladel,2
Gulpen-Wittem,1
Tynaarlo,0
Eijsden-Margraten,1
Stichtse Vecht,11
Midden-Drenthe,0
Overbetuwe,6
Hof van Twente,8
Neder-Betuwe,10
Geldrop-Mierlo,2
Olst-Wijhe,7
Dinkelland,8
Bloemendaal,3
Goeree-Overflakkee,9
Castricum,12
Edam-Volendam,3
Enkhuizen,12
Haarlem,3
Haarlemmermeer,3
Heemskerk,12
Heerhugowaard,12
Hoorn,12
Heiloo,12
Den Helder,12
Hilversum,4
Papendrecht,9
Huizen,4
Landsmeer,3
Langedijk,12
Laren,4
Purmerend,3
Medemblik,12
Oostzaan,3
Opmeer,12
Ouder-Amstel,3
Schagen,12
Texel,12
Uitgeest,12
Uithoorn,3
Velsen,3
Krimpenerwaard,9
De Fryske Marren,5
Midden-Groningen,0
Weesp,3
Zandvoort,3
Barendrecht,9
Zaanstad,3
Alblasserdam,9
Nissewaard,9
Montferland,6
Drechterland,12
Alphen aan den Rijn,15
Brielle,9
Capelle aan den IJssel,9
Delft,15
Dordrecht,9
Gorinchem,10
Gouda,15
's-Gravenhage,15
Hardinxveld-Giessendam,10
Hillegom,3
Hellevoetsluis,9
Hendrik-Ido-Ambacht,9
Stede Broec,12
Katwijk,15
Krimpen aan den IJssel,9
Leerdam,10
Leiden,15
Leiderdorp,15
Lisse,15
Maassluis,9
Nieuwkoop,15
Noordwijk,15
Noordwijkerhout,15
Oegstgeest,15
Oud-Beijerland,9
Binnenmaas,9
Korendijk,9
Oudewater,11
Rijswijk,15
Ridderkerk,9
Rotterdam,9
Schiedam,9
Sliedrecht,9
Albrandswaard,9
Westvoorne,9
Strijen,9
Zwijndrecht,9
Vianen,11
Vlaardingen,9
Voorschoten,15
Waddinxveen,15
Wassenaar,15
Woerden,11
Zoetermeer,15
Zoeterwoude,15
Borsele,14
Goes,14
Kapelle,14
West Maas en Waal,10
Hulst,14
Reimerswaal,14
Tholen,13
Middelburg,14
Giessenlanden,10
Zederik,11
Terneuzen,14
Pekela,0
Reusel-De Mierden,2
Roerdalen,2
Roosendaal,13
Veere,14
Vlissingen,14
Maasgouw,2
Eemsmond,0
Gemert-Bakel,2
Halderberge,13
Lingewaal,10
De Ronde Venen,3
Tytsjerksteradiel,5
Aalburg,10
Asten,2
Baarle-Nassau,13
Bergen op Zoom,13
Best,2
Boekel,10
Boxmeer,6
Boxtel,10
Breda,13
Deurne,2
Dongen,13
Eersel,2
Eindhoven,2
Etten-Leur,13
Schouwen-Duiveland,14
Aa en Hunze,0
Geertruidenberg,13
Gilze en Rijen,13
Goirle,13
Grave,6
Haaren,10
Helmond,2
's-Hertogenbosch,10
Heusden,10
Hilvarenbeek,13
Loon op Zand,13
Sint-Michielsgestel,10
Mill en Sint Hubert,6
"Nuenen, Gerwen en Nederwetten",2
Oirschot,2
Oisterwijk,13
Oosterhout,13
Oss,10
Rucphen,13
Someren,2
Son en Breugel,2
Nederweert,2
Borger-Odoorn,0
Steenbergen,13
Waterland,3
Tilburg,13
Uden,10
Valkenswaard,2
Cuijk,6
Veldhoven,2
Vught,10
Landerd,10
De Wolden,7
Lansingerland,9
Leudal,2
Noord-Beveland,14
Wijdemeren,4
Noordenveld,0
Twenterand,8
Westerveld,7
Waalre,2
Sint Anthonis,6
Waalwijk,13
Werkendam,10
Woensdrecht,13
Woudrichem,10
Zundert,13
Onderbanken,1
Wormerland,3
Brunssum,1
Landgraaf,1
Beek,1
Mook en Middelaar,6
Beesel,2
Bergen (L.),6
Gennep,6
Heerlen,1
Kerkrade,1
Maastricht,1
Meerssen,1
Nuth,1
Roermond,2
Schinnen,1
Simpelveld,1
Venray,2
Teylingen,15
Heeze-Leende,2
Laarbeek,2
De Marne,0
Lingewaard,6
Bernheze,10
Ferwerderadiel,5
Alphen-Chaam,13
Bergeijk,2
Rijssen-Holten,8
Westland,15
Midden-Delfland,15
Berkelland,8
Bronckhorst,6
Sittard-Geleen,1
Kaag en Braassem,15
Dantumadiel,5
Zuidplas,9
Peel en Maas,2
Oldambt,0
Zwartewaterland,7
Súdwest-Fryslân,5
Bodegraven-Reeuwijk,15
Hollands Kroon,12
Leidschendam-Voorburg,15
Pijnacker-Nootdorp,15
Molenwaard,9
Gooise Meren,4
Berg en Dal,6
Meierijstad,10
Waadhoeke,5
Westerwolde,0
