item,cluster
Appingedam,0
Bedum,0
Ten Boer,0
Delfzijl,0
Groningen,0
Grootegast,0
Stein,1
Vaals,2
Venlo,3
Haren,0
Leek,0
Loppersum,0
Marum,0
Almere,4
Voerendaal,1
Stadskanaal,0
Veendam,0
Zeewolde,5
Winsum,0
Zuidhorn,0
Dongeradeel,0
Achtkarspelen,0
Ameland,0
Valkenburg aan de Geul,2
Arnhem,6
Harlingen,0
Heerenveen,0
Kollumerland en Nieuwkruisland,0
Leeuwarden,0
Ooststellingwerf,0
Opsterland,0
Schiermonnikoog,0
Smallingerland,0
Terschelling,0
Vlieland,7
Weststellingwerf,0
Assen,0
Coevorden,0
Emmen,0
Hoogeveen,8
Meppel,8
Almelo,9
Borne,9
Dalfsen,8
Deventer,10
Cromstrijen,11
Enschede,9
Barneveld,12
Haaksbergen,9
Hardenberg,8
Hellendoorn,9
Heemstede,13
Diemen,14
Hengelo,9
Harderwijk,5
Kampen,15
Losser,9
Noordoostpolder,16
Haarlemmerliede en Spaarnwoude,13
Oldenzaal,9
Ommen,8
Raalte,17
Staphorst,8
Tubbergen,9
Urk,16
Weert,18
Wierden,9
Zwolle,15
Aalten,19
Apeldoorn,10
Beuningen,20
Brummen,19
Buren,21
Culemborg,21
Doesburg,6
Doetinchem,19
Druten,21
Lelystad,16
Horst aan de Maas,3
Oude IJsselstreek,19
Utrechtse Heuvelrug,22
Oost Gelre,19
Koggenland,23
Hattem,15
Duiven,6
Ede,12
Elburg,24
Rozendaal,6
Epe,10
Ermelo,5
Geldermalsen,21
Westervoort,6
Heerde,25
Heumen,20
Lochem,19
Zutphen,19
Maasdriel,26
Nijkerk,5
Nijmegen,20
Oldebroek,15
Putten,5
Renkum,6
Rheden,6
Bunschoten,5
Scherpenzeel,12
Tiel,21
Voorst,10
Wageningen,12
Winterswijk,19
Wijchen,20
Zaltbommel,26
Zevenaar,6
Nunspeet,24
Dronten,16
Neerijnen,21
Amersfoort,5
Baarn,5
De Bilt,22
Bunnik,22
Eemnes,27
Houten,22
Leusden,5
Lopik,28
Montfoort,22
Renswoude,12
Steenwijkerland,8
Rhenen,12
Soest,5
Utrecht,22
Veenendaal,12
Woudenberg,12
Cranendonck,29
Moerdijk,30
Echt-Susteren,18
Sluis,31
Drimmelen,32
Wijk bij Duurstede,22
IJsselstein,22
Zeist,22
Nieuwegein,22
Aalsmeer,14
Alkmaar,23
Blaricum,27
Amstelveen,14
Amsterdam,14
Beemster,33
Bergen (NH.),23
Beverwijk,13
Bladel,29
Gulpen-Wittem,2
Tynaarlo,0
Eijsden-Margraten,2
Stichtse Vecht,22
Midden-Drenthe,0
Overbetuwe,6
Hof van Twente,9
Neder-Betuwe,21
Geldrop-Mierlo,29
Olst-Wijhe,10
Dinkelland,9
Bloemendaal,13
Goeree-Overflakkee,11
Castricum,13
Edam-Volendam,33
Enkhuizen,23
Haarlem,13
Haarlemmermeer,14
Heemskerk,13
Heerhugowaard,23
Hoorn,23
Heiloo,23
Den Helder,23
Hilversum,27
Papendrecht,34
Huizen,27
Landsmeer,33
Langedijk,23
Laren,27
Purmerend,33
Medemblik,23
Oostzaan,33
Opmeer,23
Ouder-Amstel,14
Schagen,23
Texel,23
Uitgeest,13
Uithoorn,14
Velsen,13
Krimpenerwaard,35
De Fryske Marren,0
Midden-Groningen,0
Weesp,27
Zandvoort,13
Barendrecht,36
Zaanstad,33
Alblasserdam,34
Nissewaard,11
Montferland,19
Drechterland,23
Alphen aan den Rijn,35
Brielle,11
Capelle aan den IJssel,37
Delft,38
Dordrecht,34
Gorinchem,34
Gouda,35
's-Gravenhage,38
Hardinxveld-Giessendam,34
Hillegom,39
Hellevoetsluis,11
Hendrik-Ido-Ambacht,34
Stede Broec,23
Katwijk,39
Krimpen aan den IJssel,37
Leerdam,34
Leiden,39
Leiderdorp,39
Lisse,39
Maassluis,40
Nieuwkoop,35
Noordwijk,39
Noordwijkerhout,39
Oegstgeest,39
Oud-Beijerland,11
Binnenmaas,11
Korendijk,11
Oudewater,35
Rijswijk,38
Ridderkerk,36
Rotterdam,36
Schiedam,41
Sliedrecht,34
Albrandswaard,36
Westvoorne,11
Strijen,11
Zwijndrecht,34
Vianen,22
Vlaardingen,41
Voorschoten,39
Waddinxveen,35
Wassenaar,39
Woerden,22
Zoetermeer,42
Zoeterwoude,39
Borsele,31
Goes,31
Kapelle,31
West Maas en Waal,21
Hulst,31
Reimerswaal,31
Tholen,30
Middelburg,31
Giessenlanden,34
Zederik,34
Terneuzen,31
Pekela,0
Reusel-De Mierden,29
Roerdalen,18
Roosendaal,30
Veere,31
Vlissingen,31
Maasgouw,18
Eemsmond,0
Gemert-Bakel,43
Halderberge,30
Lingewaal,34
De Ronde Venen,14
Tytsjerksteradiel,0
Aalburg,26
Asten,43
Baarle-Nassau,32
Bergen op Zoom,30
Best,29
Boekel,44
Boxmeer,20
Boxtel,26
Breda,32
Deurne,43
Dongen,32
Eersel,29
Eindhoven,29
Etten-Leur,32
Schouwen-Duiveland,31
Aa en Hunze,0
Geertruidenberg,32
Gilze en Rijen,32
Goirle,45
Grave,20
Haaren,26
Helmond,43
's-Hertogenbosch,26
Heusden,26
Hilvarenbeek,45
Loon op Zand,45
Sint-Michielsgestel,26
Mill en Sint Hubert,20
"Nuenen, Gerwen en Nederwetten",29
Oirschot,29
Oisterwijk,45
Oosterhout,32
Oss,44
Rucphen,30
Someren,43
Son en Breugel,29
Nederweert,18
Borger-Odoorn,0
Steenbergen,30
Waterland,33
Tilburg,45
Uden,44
Valkenswaard,29
Cuijk,20
Veldhoven,29
Vught,26
Landerd,44
De Wolden,8
Lansingerland,42
Leudal,18
Noord-Beveland,31
Wijdemeren,27
Noordenveld,0
Twenterand,9
Westerveld,8
Waalre,29
Sint Anthonis,20
Waalwijk,45
Werkendam,34
Woensdrecht,30
Woudrichem,34
Zundert,32
Onderbanken,1
Wormerland,33
Brunssum,1
Landgraaf,1
Beek,1
Mook en Middelaar,20
Beesel,3
Bergen (L.),20
Gennep,20
Heerlen,1
Kerkrade,1
Maastricht,2
Meerssen,2
Nuth,1
Roermond,18
Schinnen,1
Simpelveld,1
Venray,3
Teylingen,39
Heeze-Leende,29
Laarbeek,43
De Marne,0
Lingewaard,6
Bernheze,44
Ferwerderadiel,0
Alphen-Chaam,32
Bergeijk,29
Rijssen-Holten,9
Westland,40
Midden-Delfland,38
Berkelland,19
Bronckhorst,19
Sittard-Geleen,1
Kaag en Braassem,39
Dantumadiel,0
Zuidplas,35
Peel en Maas,3
Oldambt,0
Zwartewaterland,15
Súdwest-Fryslân,0
Bodegraven-Reeuwijk,35
Hollands Kroon,23
Leidschendam-Voorburg,38
Pijnacker-Nootdorp,38
Molenwaard,34
Gooise Meren,27
Berg en Dal,20
Meierijstad,44
Waadhoeke,0
Westerwolde,0
