item,cluster
Appingedam,0
Bedum,0
Ten Boer,0
Delfzijl,0
Groningen,0
Grootegast,0
Stein,1
Vaals,1
Venlo,2
Haren,0
Leek,0
Loppersum,0
Marum,0
Almere,3
Voerendaal,1
Stadskanaal,0
Veendam,0
Zeewolde,4
Winsum,0
Zuidhorn,0
Dongeradeel,0
Achtkarspelen,0
Ameland,0
Valkenburg aan de Geul,1
Arnhem,5
Harlingen,0
Heerenveen,0
Kollumerland en Nieuwkruisland,0
Leeuwarden,0
Ooststellingwerf,0
Opsterland,0
Schiermonnikoog,0
Smallingerland,0
Terschelling,0
Vlieland,6
Weststellingwerf,0
Assen,0
Coevorden,0
Emmen,0
Hoogeveen,0
Meppel,7
Almelo,8
Borne,8
Dalfsen,7
Deventer,9
Cromstrijen,10
Enschede,8
Barneveld,11
Haaksbergen,8
Hardenberg,8
Hellendoorn,8
Heemstede,12
Diemen,12
Hengelo,8
Harderwijk,4
Kampen,7
Losser,8
Noordoostpolder,7
Haarlemmerliede en Spaarnwoude,12
Oldenzaal,8
Ommen,8
Raalte,7
Staphorst,7
Tubbergen,8
Urk,7
Weert,2
Wierden,8
Zwolle,7
Aalten,5
Apeldoorn,9
Beuningen,13
Brummen,9
Buren,11
Culemborg,11
Doesburg,5
Doetinchem,5
Druten,13
Lelystad,4
Horst aan de Maas,2
Oude IJsselstreek,5
Utrechtse Heuvelrug,14
Oost Gelre,5
Koggenland,15
Hattem,7
Duiven,5
Ede,11
Elburg,4
Rozendaal,5
Epe,9
Ermelo,4
Geldermalsen,11
Westervoort,5
Heerde,7
Heumen,13
Lochem,9
Zutphen,9
Maasdriel,16
Nijkerk,14
Nijmegen,13
Oldebroek,7
Putten,4
Renkum,5
Rheden,5
Bunschoten,14
Scherpenzeel,11
Tiel,11
Voorst,9
Wageningen,11
Winterswijk,5
Wijchen,13
Zaltbommel,16
Zevenaar,5
Nunspeet,4
Dronten,4
Neerijnen,11
Amersfoort,14
Baarn,14
De Bilt,14
Bunnik,14
Eemnes,3
Houten,14
Leusden,14
Lopik,14
Montfoort,14
Renswoude,11
Steenwijkerland,7
Rhenen,11
Soest,14
Utrecht,14
Veenendaal,11
Woudenberg,14
Cranendonck,17
Moerdijk,18
Echt-Susteren,1
Sluis,19
Drimmelen,18
Wijk bij Duurstede,14
IJsselstein,14
Zeist,14
Nieuwegein,14
Aalsmeer,12
Alkmaar,15
Blaricum,3
Amstelveen,12
Amsterdam,12
Beemster,12
Bergen (NH.),15
Beverwijk,12
Bladel,17
Gulpen-Wittem,1
Tynaarlo,0
Eijsden-Margraten,1
Stichtse Vecht,14
Midden-Drenthe,0
Overbetuwe,5
Hof van Twente,8
Neder-Betuwe,11
Geldrop-Mierlo,17
Olst-Wijhe,7
Dinkelland,8
Bloemendaal,12
Goeree-Overflakkee,10
Castricum,15
Edam-Volendam,15
Enkhuizen,15
Haarlem,12
Haarlemmermeer,12
Heemskerk,12
Heerhugowaard,15
Hoorn,15
Heiloo,15
Den Helder,15
Hilversum,3
Papendrecht,20
Huizen,3
Landsmeer,12
Langedijk,15
Laren,3
Purmerend,12
Medemblik,15
Oostzaan,12
Opmeer,15
Ouder-Amstel,12
Schagen,15
Texel,15
Uitgeest,12
Uithoorn,12
Velsen,12
Krimpenerwaard,21
De Fryske Marren,0
Midden-Groningen,0
Weesp,3
Zandvoort,12
Barendrecht,10
Zaanstad,12
Alblasserdam,20
Nissewaard,10
Montferland,5
Drechterland,15
Alphen aan den Rijn,21
Brielle,10
Capelle aan den IJssel,10
Delft,22
Dordrecht,20
Gorinchem,20
Gouda,21
's-Gravenhage,22
Hardinxveld-Giessendam,20
Hillegom,12
Hellevoetsluis,10
Hendrik-Ido-Ambacht,20
Stede Broec,15
Katwijk,21
Krimpen aan den IJssel,10
Leerdam,20
Leiden,21
Leiderdorp,21
Lisse,12
Maassluis,22
Nieuwkoop,21
Noordwijk,21
Noordwijkerhout,21
Oegstgeest,21
Oud-Beijerland,10
Binnenmaas,10
Korendijk,10
Oudewater,14
Rijswijk,22
Ridderkerk,10
Rotterdam,10
Schiedam,10
Sliedrecht,20
Albrandswaard,10
Westvoorne,10
Strijen,10
Zwijndrecht,20
Vianen,14
Vlaardingen,10
Voorschoten,21
Waddinxveen,21
Wassenaar,22
Woerden,14
Zoetermeer,22
Zoeterwoude,21
Borsele,19
Goes,19
Kapelle,19
West Maas en Waal,11
Hulst,19
Reimerswaal,19
Tholen,18
Middelburg,19
Giessenlanden,20
Zederik,20
Terneuzen,19
Pekela,0
Reusel-De Mierden,17
Roerdalen,2
Roosendaal,18
Veere,19
Vlissingen,19
Maasgouw,2
Eemsmond,0
Gemert-Bakel,17
Halderberge,18
Lingewaal,20
De Ronde Venen,12
Tytsjerksteradiel,0
Aalburg,16
Asten,17
Baarle-Nassau,18
Bergen op Zoom,18
Best,17
Boekel,16
Boxmeer,13
Boxtel,16
Breda,18
Deurne,17
Dongen,18
Eersel,17
Eindhoven,17
Etten-Leur,18
Schouwen-Duiveland,19
Aa en Hunze,0
Geertruidenberg,18
Gilze en Rijen,18
Goirle,23
Grave,13
Haaren,16
Helmond,17
's-Hertogenbosch,16
Heusden,16
Hilvarenbeek,23
Loon op Zand,16
Sint-Michielsgestel,16
Mill en Sint Hubert,13
"Nuenen, Gerwen en Nederwetten",17
Oirschot,17
Oisterwijk,23
Oosterhout,18
Oss,16
Rucphen,18
Someren,17
Son en Breugel,17
Nederweert,2
Borger-Odoorn,0
Steenbergen,18
Waterland,12
Tilburg,23
Uden,16
Valkenswaard,17
Cuijk,13
Veldhoven,17
Vught,16
Landerd,16
De Wolden,0
Lansingerland,22
Leudal,2
Noord-Beveland,19
Wijdemeren,3
Noordenveld,0
Twenterand,8
Westerveld,0
Waalre,17
Sint Anthonis,13
Waalwijk,16
Werkendam,20
Woensdrecht,18
Woudrichem,20
Zundert,18
Onderbanken,1
Wormerland,12
Brunssum,1
Landgraaf,1
Beek,1
Mook en Middelaar,13
Beesel,2
Bergen (L.),13
Gennep,13
Heerlen,1
Kerkrade,1
Maastricht,1
Meerssen,1
Nuth,1
Roermond,2
Schinnen,1
Simpelveld,1
Venray,2
Teylingen,21
Heeze-Leende,17
Laarbeek,17
De Marne,0
Lingewaard,5
Bernheze,16
Ferwerderadiel,0
Alphen-Chaam,18
Bergeijk,17
Rijssen-Holten,8
Westland,22
Midden-Delfland,22
Berkelland,5
Bronckhorst,5
Sittard-Geleen,1
Kaag en Braassem,21
Dantumadiel,0
Zuidplas,21
Peel en Maas,2
Oldambt,0
Zwartewaterland,7
Súdwest-Fryslân,0
Bodegraven-Reeuwijk,21
Hollands Kroon,15
Leidschendam-Voorburg,22
Pijnacker-Nootdorp,22
Molenwaard,20
Gooise Meren,3
Berg en Dal,13
Meierijstad,16
Waadhoeke,0
Westerwolde,0
