item,cluster
Appingedam,0
Bedum,0
Ten Boer,0
Delfzijl,0
Groningen,0
Grootegast,0
Stein,1
Vaals,1
Venlo,2
Haren,0
Leek,0
Loppersum,0
Marum,0
Almere,3
Voerendaal,1
Stadskanaal,0
Veendam,0
Zeewolde,4
Winsum,0
Zuidhorn,0
Dongeradeel,0
Achtkarspelen,0
Ameland,0
Valkenburg aan de Geul,1
Arnhem,5
Harlingen,0
Heerenveen,0
Kollumerland en Nieuwkruisland,0
Leeuwarden,0
Ooststellingwerf,0
Opsterland,0
Schiermonnikoog,0
Smallingerland,0
Terschelling,0
Vlieland,0
Weststellingwerf,0
Assen,0
Coevorden,0
Emmen,0
Hoogeveen,6
Meppel,6
Almelo,7
Borne,0
Dalfsen,8
Deventer,9
Cromstrijen,10
Enschede,0
Barneveld,11
Haaksbergen,0
Hardenberg,8
Hellendoorn,7
Heemstede,0
Diemen,12
Hengelo,0
Harderwijk,4
Kampen,13
Losser,0
Noordoostpolder,14
Haarlemmerliede en Spaarnwoude,0
Oldenzaal,0
Ommen,8
Raalte,9
Staphorst,6
Tubbergen,7
Urk,14
Weert,5
Wierden,7
Zwolle,13
Aalten,15
Apeldoorn,16
Beuningen,17
Brummen,18
Buren,19
Culemborg,19
Doesburg,20
Doetinchem,15
Druten,17
Lelystad,14
Horst aan de Maas,2
Oude IJsselstreek,15
Utrechtse Heuvelrug,21
Oost Gelre,15
Koggenland,22
Hattem,13
Duiven,20
Ede,11
Elburg,13
Rozendaal,5
Epe,16
Ermelo,4
Geldermalsen,19
Westervoort,20
Heerde,13
Heumen,17
Lochem,18
Zutphen,18
Maasdriel,23
Nijkerk,21
Nijmegen,17
Oldebroek,13
Putten,4
Renkum,5
Rheden,5
Bunschoten,21
Scherpenzeel,11
Tiel,19
Voorst,16
Wageningen,11
Winterswijk,15
Wijchen,17
Zaltbommel,23
Zevenaar,20
Nunspeet,4
Dronten,14
Neerijnen,19
Amersfoort,21
Baarn,21
De Bilt,3
Bunnik,0
Eemnes,24
Houten,0
Leusden,21
Lopik,25
Montfoort,26
Renswoude,11
Steenwijkerland,6
Rhenen,11
Soest,21
Utrecht,21
Veenendaal,11
Woudenberg,21
Cranendonck,5
Moerdijk,27
Echt-Susteren,28
Sluis,0
Drimmelen,0
Wijk bij Duurstede,21
IJsselstein,25
Zeist,3
Nieuwegein,25
Aalsmeer,29
Alkmaar,30
Blaricum,24
Amstelveen,29
Amsterdam,0
Beemster,31
Bergen (NH.),30
Beverwijk,21
Bladel,32
Gulpen-Wittem,1
Tynaarlo,0
Eijsden-Margraten,1
Stichtse Vecht,21
Midden-Drenthe,0
Overbetuwe,5
Hof van Twente,0
Neder-Betuwe,19
Geldrop-Mierlo,26
Olst-Wijhe,9
Dinkelland,0
Bloemendaal,0
Goeree-Overflakkee,0
Castricum,21
Edam-Volendam,31
Enkhuizen,22
Haarlem,0
Haarlemmermeer,0
Heemskerk,21
Heerhugowaard,30
Hoorn,22
Heiloo,30
Den Helder,0
Hilversum,24
Papendrecht,33
Huizen,24
Landsmeer,31
Langedijk,30
Laren,24
Purmerend,31
Medemblik,22
Oostzaan,34
Opmeer,22
Ouder-Amstel,0
Schagen,0
Texel,0
Uitgeest,21
Uithoorn,29
Velsen,0
Krimpenerwaard,35
De Fryske Marren,0
Midden-Groningen,0
Weesp,36
Zandvoort,0
Barendrecht,37
Zaanstad,34
Alblasserdam,33
Nissewaard,0
Montferland,15
Drechterland,22
Alphen aan den Rijn,3
Brielle,0
Capelle aan den IJssel,38
Delft,0
Dordrecht,33
Gorinchem,39
Gouda,35
's-Gravenhage,40
Hardinxveld-Giessendam,39
Hillegom,41
Hellevoetsluis,0
Hendrik-Ido-Ambacht,3
Stede Broec,22
Katwijk,41
Krimpen aan den IJssel,38
Leerdam,39
Leiden,0
Leiderdorp,0
Lisse,41
Maassluis,42
Nieuwkoop,3
Noordwijk,41
Noordwijkerhout,41
Oegstgeest,41
Oud-Beijerland,10
Binnenmaas,10
Korendijk,10
Oudewater,26
Rijswijk,40
Ridderkerk,3
Rotterdam,43
Schiedam,44
Sliedrecht,33
Albrandswaard,37
Westvoorne,0
Strijen,10
Zwijndrecht,3
Vianen,25
Vlaardingen,44
Voorschoten,0
Waddinxveen,35
Wassenaar,0
Woerden,26
Zoetermeer,0
Zoeterwoude,0
Borsele,0
Goes,0
Kapelle,0
West Maas en Waal,19
Hulst,0
Reimerswaal,0
Tholen,27
Middelburg,0
Giessenlanden,39
Zederik,39
Terneuzen,0
Pekela,0
Reusel-De Mierden,32
Roerdalen,28
Roosendaal,27
Veere,0
Vlissingen,0
Maasgouw,28
Eemsmond,0
Gemert-Bakel,45
Halderberge,27
Lingewaal,39
De Ronde Venen,21
Tytsjerksteradiel,0
Aalburg,23
Asten,45
Baarle-Nassau,46
Bergen op Zoom,27
Best,3
Boekel,47
Boxmeer,48
Boxtel,49
Breda,0
Deurne,45
Dongen,46
Eersel,32
Eindhoven,26
Etten-Leur,27
Schouwen-Duiveland,0
Aa en Hunze,0
Geertruidenberg,0
Gilze en Rijen,46
Goirle,46
Grave,17
Haaren,49
Helmond,45
's-Hertogenbosch,49
Heusden,50
Hilvarenbeek,46
Loon op Zand,50
Sint-Michielsgestel,49
Mill en Sint Hubert,48
"Nuenen, Gerwen en Nederwetten",26
Oirschot,3
Oisterwijk,46
Oosterhout,0
Oss,47
Rucphen,27
Someren,45
Son en Breugel,26
Nederweert,5
Borger-Odoorn,0
Steenbergen,27
Waterland,31
Tilburg,46
Uden,47
Valkenswaard,32
Cuijk,48
Veldhoven,26
Vught,49
Landerd,47
De Wolden,6
Lansingerland,3
Leudal,28
Noord-Beveland,0
Wijdemeren,24
Noordenveld,0
Twenterand,7
Westerveld,6
Waalre,26
Sint Anthonis,48
Waalwijk,50
Werkendam,39
Woensdrecht,27
Woudrichem,39
Zundert,27
Onderbanken,1
Wormerland,34
Brunssum,1
Landgraaf,1
Beek,1
Mook en Middelaar,48
Beesel,2
Bergen (L.),48
Gennep,48
Heerlen,1
Kerkrade,1
Maastricht,1
Meerssen,1
Nuth,1
Roermond,28
Schinnen,1
Simpelveld,1
Venray,2
Teylingen,41
Heeze-Leende,5
Laarbeek,45
De Marne,0
Lingewaard,5
Bernheze,47
Ferwerderadiel,0
Alphen-Chaam,46
Bergeijk,32
Rijssen-Holten,7
Westland,42
Midden-Delfland,42
Berkelland,15
Bronckhorst,15
Sittard-Geleen,1
Kaag en Braassem,3
Dantumadiel,0
Zuidplas,35
Peel en Maas,2
Oldambt,0
Zwartewaterland,13
Súdwest-Fryslân,0
Bodegraven-Reeuwijk,26
Hollands Kroon,0
Leidschendam-Voorburg,0
Pijnacker-Nootdorp,0
Molenwaard,33
Gooise Meren,24
Berg en Dal,17
Meierijstad,47
Waadhoeke,0
Westerwolde,0
