item,cluster
Appingedam,0
Bedum,0
Ten Boer,0
Delfzijl,0
Groningen,0
Grootegast,0
Stein,1
Vaals,2
Venlo,3
Haren,0
Leek,0
Loppersum,0
Marum,0
Almere,4
Voerendaal,5
Stadskanaal,0
Veendam,0
Zeewolde,6
Winsum,0
Zuidhorn,0
Dongeradeel,0
Achtkarspelen,0
Ameland,0
Valkenburg aan de Geul,7
Arnhem,8
Harlingen,0
Heerenveen,0
Kollumerland en Nieuwkruisland,0
Leeuwarden,0
Ooststellingwerf,0
Opsterland,0
Schiermonnikoog,0
Smallingerland,0
Terschelling,0
Vlieland,9
Weststellingwerf,0
Assen,0
Coevorden,0
Emmen,0
Hoogeveen,10
Meppel,11
Almelo,9
Borne,9
Dalfsen,12
Deventer,13
Cromstrijen,14
Enschede,9
Barneveld,15
Haaksbergen,9
Hardenberg,12
Hellendoorn,16
Heemstede,9
Diemen,17
Hengelo,9
Harderwijk,6
Kampen,18
Losser,9
Noordoostpolder,19
Haarlemmerliede en Spaarnwoude,9
Oldenzaal,9
Ommen,12
Raalte,20
Staphorst,11
Tubbergen,9
Urk,19
Weert,21
Wierden,9
Zwolle,22
Aalten,23
Apeldoorn,24
Beuningen,25
Brummen,26
Buren,27
Culemborg,27
Doesburg,8
Doetinchem,23
Druten,28
Lelystad,29
Horst aan de Maas,3
Oude IJsselstreek,23
Utrechtse Heuvelrug,30
Oost Gelre,23
Koggenland,31
Hattem,22
Duiven,8
Ede,15
Elburg,32
Rozendaal,8
Epe,33
Ermelo,6
Geldermalsen,27
Westervoort,8
Heerde,33
Heumen,25
Lochem,26
Zutphen,26
Maasdriel,34
Nijkerk,9
Nijmegen,25
Oldebroek,18
Putten,6
Renkum,8
Rheden,8
Bunschoten,9
Scherpenzeel,15
Tiel,27
Voorst,13
Wageningen,15
Winterswijk,23
Wijchen,35
Zaltbommel,34
Zevenaar,8
Nunspeet,32
Dronten,36
Neerijnen,27
Amersfoort,9
Baarn,9
De Bilt,30
Bunnik,30
Eemnes,37
Houten,38
Leusden,9
Lopik,39
Montfoort,40
Renswoude,15
Steenwijkerland,11
Rhenen,41
Soest,9
Utrecht,38
Veenendaal,41
Woudenberg,30
Cranendonck,21
Moerdijk,42
Echt-Susteren,43
Sluis,0
Drimmelen,9
Wijk bij Duurstede,30
IJsselstein,39
Zeist,30
Nieuwegein,38
Aalsmeer,44
Alkmaar,0
Blaricum,37
Amstelveen,44
Amsterdam,9
Beemster,45
Bergen (NH.),0
Beverwijk,46
Bladel,47
Gulpen-Wittem,2
Tynaarlo,0
Eijsden-Margraten,48
Stichtse Vecht,38
Midden-Drenthe,0
Overbetuwe,8
Hof van Twente,9
Neder-Betuwe,28
Geldrop-Mierlo,49
Olst-Wijhe,13
Dinkelland,9
Bloemendaal,9
Goeree-Overflakkee,0
Castricum,46
Edam-Volendam,45
Enkhuizen,31
Haarlem,9
Haarlemmermeer,9
Heemskerk,46
Heerhugowaard,0
Hoorn,31
Heiloo,0
Den Helder,0
Hilversum,37
Papendrecht,50
Huizen,37
Landsmeer,45
Langedijk,0
Laren,37
Purmerend,45
Medemblik,31
Oostzaan,51
Opmeer,31
Ouder-Amstel,9
Schagen,0
Texel,0
Uitgeest,46
Uithoorn,44
Velsen,9
Krimpenerwaard,52
De Fryske Marren,0
Midden-Groningen,0
Weesp,53
Zandvoort,9
Barendrecht,54
Zaanstad,51
Alblasserdam,50
Nissewaard,0
Montferland,23
Drechterland,31
Alphen aan den Rijn,46
Brielle,0
Capelle aan den IJssel,55
Delft,0
Dordrecht,50
Gorinchem,56
Gouda,52
's-Gravenhage,57
Hardinxveld-Giessendam,56
Hillegom,9
Hellevoetsluis,0
Hendrik-Ido-Ambacht,54
Stede Broec,31
Katwijk,58
Krimpen aan den IJssel,55
Leerdam,56
Leiden,9
Leiderdorp,9
Lisse,9
Maassluis,59
Nieuwkoop,46
Noordwijk,9
Noordwijkerhout,9
Oegstgeest,9
Oud-Beijerland,14
Binnenmaas,14
Korendijk,14
Oudewater,40
Rijswijk,0
Ridderkerk,54
Rotterdam,60
Schiedam,61
Sliedrecht,50
Albrandswaard,62
Westvoorne,0
Strijen,14
Zwijndrecht,54
Vianen,63
Vlaardingen,64
Voorschoten,9
Waddinxveen,52
Wassenaar,9
Woerden,40
Zoetermeer,46
Zoeterwoude,9
Borsele,0
Goes,0
Kapelle,0
West Maas en Waal,28
Hulst,0
Reimerswaal,0
Tholen,65
Middelburg,0
Giessenlanden,56
Zederik,56
Terneuzen,0
Pekela,0
Reusel-De Mierden,47
Roerdalen,43
Roosendaal,42
Veere,0
Vlissingen,0
Maasgouw,43
Eemsmond,0
Gemert-Bakel,66
Halderberge,42
Lingewaal,56
De Ronde Venen,67
Tytsjerksteradiel,0
Aalburg,34
Asten,68
Baarle-Nassau,69
Bergen op Zoom,65
Best,49
Boekel,70
Boxmeer,71
Boxtel,72
Breda,9
Deurne,68
Dongen,69
Eersel,47
Eindhoven,49
Etten-Leur,42
Schouwen-Duiveland,0
Aa en Hunze,0
Geertruidenberg,9
Gilze en Rijen,69
Goirle,73
Grave,35
Haaren,73
Helmond,66
's-Hertogenbosch,74
Heusden,75
Hilvarenbeek,73
Loon op Zand,75
Sint-Michielsgestel,74
Mill en Sint Hubert,71
"Nuenen, Gerwen en Nederwetten",49
Oirschot,76
Oisterwijk,73
Oosterhout,9
Oss,77
Rucphen,42
Someren,68
Son en Breugel,49
Nederweert,21
Borger-Odoorn,0
Steenbergen,65
Waterland,45
Tilburg,73
Uden,70
Valkenswaard,47
Cuijk,71
Veldhoven,49
Vught,74
Landerd,77
De Wolden,11
Lansingerland,46
Leudal,43
Noord-Beveland,0
Wijdemeren,37
Noordenveld,0
Twenterand,9
Westerveld,11
Waalre,49
Sint Anthonis,71
Waalwijk,75
Werkendam,56
Woensdrecht,65
Woudrichem,56
Zundert,78
Onderbanken,5
Wormerland,51
Brunssum,5
Landgraaf,5
Beek,1
Mook en Middelaar,71
Beesel,3
Bergen (L.),71
Gennep,71
Heerlen,5
Kerkrade,5
Maastricht,48
Meerssen,7
Nuth,5
Roermond,43
Schinnen,1
Simpelveld,2
Venray,71
Teylingen,9
Heeze-Leende,21
Laarbeek,66
De Marne,0
Lingewaard,8
Bernheze,77
Ferwerderadiel,0
Alphen-Chaam,69
Bergeijk,47
Rijssen-Holten,16
Westland,59
Midden-Delfland,0
Berkelland,79
Bronckhorst,23
Sittard-Geleen,1
Kaag en Braassem,46
Dantumadiel,0
Zuidplas,80
Peel en Maas,3
Oldambt,0
Zwartewaterland,11
Súdwest-Fryslân,0
Bodegraven-Reeuwijk,52
Hollands Kroon,0
Leidschendam-Voorburg,46
Pijnacker-Nootdorp,0
Molenwaard,50
Gooise Meren,37
Berg en Dal,25
Meierijstad,70
Waadhoeke,0
Westerwolde,0
